zip,county_name
44114,Cuyahoga
44115,Cuyahoga
44116,Cuyahoga
44117,Cuyahoga
44118,Cuyahoga
44119,Cuyahoga
44120,Cuyahoga
44121,Cuyahoga
44122,Cuyahoga
44123,Cuyahoga
44124,Cuyahoga
44125,Cuyahoga
44126,Cuyahoga
44127,Cuyahoga
44128,Cuyahoga
44129,Cuyahoga
44130,Cuyahoga
44131,Cuyahoga
44132,Cuyahoga
44133,Cuyahoga
44134,Cuyahoga
44135,Cuyahoga
44136,Cuyahoga
44137,Cuyahoga
44138,Cuyahoga
44139,Cuyahoga
44140,Cuyahoga
44141,Cuyahoga
44142,Cuyahoga
44143,Cuyahoga
44144,Cuyahoga
44145,Cuyahoga
44146,Cuyahoga
44147,Cuyahoga
44149,Cuyahoga
44181,Cuyahoga
44188,Cuyahoga
44190,Cuyahoga
44191,Cuyahoga
44192,Cuyahoga
44193,Cuyahoga
44194,Cuyahoga
44195,Cuyahoga
44197,Cuyahoga
44198,Cuyahoga
44199,Cuyahoga
44201,Portage
44202,Portage
44203,Summit 
44210,Summit
44211,Portage
44212,Medina
44214,Wayne
44215,Medina
44216,Summit
44217,Wayne
44221,Summit
44222,Summit
44223,Summit
44224,Summit
44230,Wayne
44231,Portage
44232,Summit
44233,Medina
44234,Portage
44235,Medina
44236,Summit
44237,Summit
44240,Portage
44241,Portage
44242,Portage
44243,Portage
44250,Summit
44251,Medina
44253,Medina
44254,Medina
44255,Portage
44256,Medina
44258,Medina
44260,Portage
44262,Summit
44264,Summit
44265,Portage
44266,Portage
44270,Wayne
44272,Portage
44273,Medina
44274,Medina
44275,Medina
44276,Wayne
44278,Summit
44280,Medina
44281,Medina
44282,Medina
44285,Portage
44286,Summit
44287,Wayne
44288,Portage
44301,Summit
44302,Summit
44303,Summit
44304,Summit
44305,Summit
44306,Summit
44307,Summit
44308,Summit
44309,Summit
44310,Summit
44311,Summit
44312,Summit
44313,Summit
44314,Summit
44315,Summit
44316,Summit
44317,Summit
44319,Summit
44320,Summit
44321,Summit
44325,Summit
44326,Summit
44328,Summit
44333,Summit
44334,Summit
44372,Summit
